ID,Name,Description,Related_Attack_Pattern_IDs,ChildOf_IDs,Modes_of_Introduction_Phase,Potential_Mitigations
1004,Sensitive Cookie Without 'HttpOnly' Flag,"The product uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.",,732,Implementation,Leverage the HttpOnly flag when setting a sensitive cookie in a response.
1007,Insufficient Visual Distinction of Homoglyphs Presented to User,"The product displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action.",632,451,Architecture and Design;Implementation,;
102,Struts: Duplicate Validation Forms,"The product uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.",,694;1173;20,Implementation,"The DTD or schema validation will not catch the duplicate occurrence of the same form name. To find the issue in the implementation, manual checks or automated static analysis could be applied to the xml configuration files."
1021,Improper Restriction of Rendered UI Layers or Frames,"The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with.",103;181;222;504;506;587;654,441;610;451,Implementation,";;This defense-in-depth technique can be used to prevent the improper usage of frames in web applications. It prioritizes the valid sources of data to be loaded into the application through the usage of declarative policies. Based on which implementation of Content Security Policy is in use, the developer should use the ""frame-ancestors"" directive or the ""frame-src"" directive to mitigate this weakness. Both directives allow for the placement of restrictions when it comes to allowing embedded content."
1022,Use of Web Link to Untrusted Target with window.opener Access,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying  security-critical properties of the window.opener object, such as the location property.",,266,Architecture and Design;Implementation,Specify in the design that any linked external document must not be granted access to the location object of the calling page.;;
1023,Incomplete Comparison with Missing Factors,"The product performs a comparison between entities that must consider multiple factors or characteristics of each entity, but the comparison does not include one or more of these factors.",,697,Implementation,Thoroughly test the comparison scheme before deploying code into production. Perform positive testing as well as negative testing.
1024,Comparison of Incompatible Types,"The product performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared.",,697,Implementation,Thoroughly test the comparison scheme before deploying code into production. Perform positive testing as well as negative testing.
1025,Comparison Using Wrong Factors,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",,697,Implementation,Thoroughly test the comparison scheme before deploying code into production. Perform positive testing as well as negative testing.
103,Struts: Incomplete validate() Method Definition,"The product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().",,573;20,Implementation,Implement the validate() method and call super.validate() within that method.
1037,Processor Optimization Removal or Modification of Security-critical Code,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified.",663,1038,Architecture and Design,
1038,Insecure Automated Optimizations,"The product uses a mechanism that automatically optimizes code, e.g. to improve a characteristic such as performance, but the optimizations can have an unintended side effect that might violate an intended security assumption.",,435;758,Architecture and Design,
1039,Automated Recognition Mechanism with Inadequate Detection or Handling of Adversarial Input Perturbations,"The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.",,693;697,Architecture and Design,
104,Struts: Form Bean Does Not Extend Validation Class,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",,573;20,Implementation,Ensure that all forms extend one of the Validation Classes.
1041,Use of Redundant Code,"The product has multiple functions, methods, procedures, macros, etc. that
					contain the same code.",,710,,Merge common functionality into a single function and then call that function from across the entire code base.
1042,Static Member Data Element outside of a Singleton Class Element,"The code contains a member element that is declared as static (but not final), in which
					its parent class element 
					is not a singleton class - that is, a class element that can be used only once in
					the 'to' association of a Create action.",,1176,,
1043,Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,"The product uses a data element that has an excessively large
					number of sub-elements with non-primitive data types such as structures or aggregated objects.",,1093,,
1044,Architecture with Number of Horizontal Layers Outside of Expected Range,"The product's architecture contains too many - or too few -
					horizontal layers.",,710,Architecture and Design,
1045,Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor.",,1076,,
1046,Creation of Immutable Text Using String Concatenation,The product creates an immutable text string using string concatenation operations.,,1176,,
1047,Modules with Circular Dependencies,"The product contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies.",,1120,,
1048,Invokable Control Element with Large Number of Outward Calls,"The code contains callable control elements that
         contain an excessively large number of references to other
         application objects external to the context of the callable,
         i.e. a Fan-Out value that is excessively large.",,710,,
1049,Excessive Data Query Operations in a Large Data Table,"The product performs a data query with a large number of joins
					and sub-queries on a large data table.",,1176,,
105,Struts: Form Field Without Validator,"The product has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.",,1173;20,Implementation,"Validate all form fields. If a field is unused, it is still important to constrain it so that it is empty or undefined."
1050,Excessive Platform Resource Consumption within a Loop,"The product has a loop body or loop condition that contains a control element that directly or
					indirectly consumes platform resources, e.g. messaging, sessions, locks, or file
					descriptors.",,405,,
1051,Initialization with Hard-Coded Network Resource Configuration Data,The product initializes data using hard-coded values that act as network resource identifiers.,,1419,,
1052,Excessive Use of Hard-Coded Literals in Initialization,"The product initializes a data element using a hard-coded
					literal that is not a simple integer or static constant element.",,1419,,
1053,Missing Documentation for Design,The product does not have documentation that represents how it is designed.,,1059,,
1054,Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer,"The code at one architectural layer invokes code that resides
					at a deeper layer than the adjacent layer, i.e., the invocation skips at least one
					layer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer.",,1061,,
1055,Multiple Inheritance from Concrete Classes,"The product contains a class with inheritance from more than
					one concrete class.",,1093,,
1056,Invokable Control Element with Variadic Parameters,"A named-callable or method control element has a signature that
					supports a variable (variadic) number of parameters or arguments.",,1120,,
1057,Data Access Operations Outside of Expected Data Manager Component,"The product uses a dedicated, central data manager component as required by design, but it contains code that performs data-access operations that do not use this data manager.",,1061,,
1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,"The code contains a function or method that
		 operates in a multi-threaded environment but owns an unsafe non-final
		                     static storable or member data element.",,662;662;662,,
1059,Insufficient Technical Documentation,"The product does not contain sufficient
         technical or engineering documentation (whether on paper or
         in electronic form) that contains descriptions of all the
         relevant software/hardware elements of the product, such as
         its usage, structure, architectural components, interfaces, design, implementation,
         configuration, operation, etc.",,710,Architecture and Design;Documentation,Ensure that design documentation is detailed enough to allow for post-manufacturing verification.
106,Struts: Plug-in Framework not in Use,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.",,1173;20,Implementation,Use an input validation framework such as Struts.;Use an input validation framework such as Struts.;;
1060,Excessive Number of Inefficient Server-Side Data Accesses,The product performs too many data queries without using efficient data processing functionality such as stored procedures.,,1120,,
1061,Insufficient Encapsulation,"The product does not sufficiently hide the internal representation and implementation details of data or methods, which might allow external components or modules to modify data unexpectedly, invoke unexpected functionality, or introduce dependencies that the programmer did not intend.",,710,,
1062,Parent Class with References to Child Class,"The code has a parent class that contains references to a child class, its methods, or its members.",,1061,,
1063,Creation of Class Instance within a Static Code Block,A static code block creates an instance of a class.,,1176,,
1064,Invokable Control Element with Signature Containing an Excessive Number of Parameters,"The product contains a function, subroutine, or method whose signature has an unnecessarily large number of
					parameters/arguments.",,1120,,
1065,Runtime Resource Management Control Element in a Component Built to Run on Application Servers,"The product uses deployed components from application servers, but it also uses low-level functions/methods for management of resources, instead of the API provided by the application server.",,710,,
1066,Missing Serialization Control Element,"The product contains a serializable data element that does not
					have an associated serialization method.",,710,,
1067,Excessive Execution of Sequential Searches of Data Resource,"The product contains a data query against an SQL table or view
					that is configured in a way that does not utilize an index and may cause
					sequential searches to be performed.",,1176,,
1068,Inconsistency Between Implementation and Documented Design,"The implementation of the product is not consistent with the
					design as described within the relevant documentation.",,710,Implementation,
1069,Empty Exception Block,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty.",,1071,,For every exception block add code that handles the specific exception in the way intended by the application.
107,Struts: Unused Validation Form,An unused validation form indicates that validation logic is not up-to-date.,,1164;20,Implementation;Operation,Remove the unused Validation Form from the validation.xml file.
1070,Serializable Data Element Containing non-Serializable Item Elements,"The product contains a serializable, storable data element such as a field or member,
					but the data element contains member elements that are not
					serializable.",,1076,,
1071,Empty Code Block,"The source code contains a block that does not contain any code, i.e., the block is empty.",,1164,,
1072,Data Resource Access without Use of Connection Pooling,"The product accesses a data resource through a database without using a
					connection pooling capability.",,405,,
1073,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,"The product contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.",,405,,
1074,Class with Excessively Deep Inheritance,"A class has an inheritance level that is too high, i.e., it
					has a large number of parent classes.",,1093,,
1075,Unconditional Control Flow Transfer outside of Switch Block,"The product performs unconditional control transfer (such as a
					""goto"") in code outside of a branching structure such as a switch
					block.",,1120,,
1076,Insufficient Adherence to Expected Conventions,"The product's architecture, source code, design, documentation,
					or other artifact does not follow required conventions.",,710,,
1077,Floating Point Comparison with Incorrect Operator,"The code performs a comparison such as an
        equality test between two float (floating point) values, but
        it uses comparison operators that do not account for the
        possibility of loss of precision.",,697,,
1078,Inappropriate Source Code Style or Formatting,"The source code does not follow
				desired style or formatting for indentation, white
				space, comments, etc.",,1076,,
1079,Parent Class without Virtual Destructor Method,"A parent class contains one or more child classes, but the parent class does not have a virtual destructor method.",,1076,,
108,Struts: Unvalidated Action Form,Every Action Form must have a corresponding validation form.,,1173;20,Implementation,
1080,Source Code File with Excessive Number of Lines of Code,"A source code file has too many lines of
					code.",,1120,,
1082,Class Instance Self Destruction Control Element,The code contains a class instance that calls the method or function to delete or destroy itself.,,1076,,
1083,Data Access from Outside Expected Data Manager Component,"The product is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.",,1061,,
1084,Invokable Control Element with Excessive File or Data Access Operations,"A function or method contains too many
					operations that utilize a data manager or file resource.",,405,,
1085,Invokable Control Element with Excessive Volume of Commented-out Code,"A function, method, procedure, etc. contains an excessive amount of code that has been
					commented out within its body.",,1078,,
1086,Class with Excessive Number of Child Classes,"A class contains an unnecessarily large number of
					children.",,1093,,
1087,Class with Virtual Method without a Virtual Destructor,"A class contains a virtual method, but the method does not have an associated virtual destructor.",,1076,,
1088,Synchronous Access of Remote Resource without Timeout,"The code has a synchronous call to a remote resource, but there is no timeout for the call, or the timeout is set to infinite.",,821,,
1089,Large Data Table with Excessive Number of Indices,"The product uses a large data table that contains an excessively large number of
					indices.",,405,,
109,Struts: Validator Turned Off,"Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation.",,1173;20,Implementation,Ensure that an action form mapping enables validation. Set the validate field to true.
1090,Method Containing Access of a Member Element from Another Class,"A method for a class performs an operation that directly
					accesses a member element from another class.",,1061,,
1091,Use of Object without Invoking Destructor Method,"The product contains a method that accesses an object but does not later invoke
					the element's associated finalize/destructor method.",,772;1076,,
1092,Use of Same Invokable Control Element in Multiple Architectural Layers,"The product uses the same control element across multiple
					architectural layers.",,710,,
1093,Excessively Complex Data Representation,The product uses an unnecessarily complex internal representation for its data structures or interrelationships between those structures.,,710,,
1094,Excessive Index Range Scan for a Data Resource,"The product contains an index range scan for a large data table,
					but the scan can cover a large number of rows.",,405,,
1095,Loop Condition Value Update within the Loop,"The product uses a loop with a control flow condition based on
					a value that is updated within the body of the loop.",,1120,,
1096,Singleton Class Instance Creation without Proper Locking or Synchronization,The product implements a Singleton design pattern but does not use appropriate locking or other synchronization mechanism to ensure that the singleton class is only instantiated once.,,820;662;662,,
1097,Persistent Storable Data Element without Associated Comparison Control Element,"The product uses a storable data element that does not have
					all of the associated functions or methods that are necessary to support
					comparison.",,1076;595,,
1098,Data Element containing Pointer Item without Proper Copy Control Element,The code contains a data element with a pointer that does not have an associated copy or constructor method.,,1076,,
1099,Inconsistent Naming Conventions for Identifiers,"The product's code, documentation, or other artifacts do not
					consistently use the same naming conventions for variables, callables, groups of
					related callables, I/O capabilities, data types, file names, or similar types of
					elements.",,1078,,
11,ASP.NET Misconfiguration: Creating Debug Binary,Debugging messages help attackers learn about the system and plan a form of attack.,,489,Implementation;Build and Compilation,Avoid releasing debug binaries into the production environment. Change the debug mode to false when the application is deployed into production.
110,Struts: Validator Without Form Field,Validation fields that do not appear in forms they are associated with indicate that the validation logic is out of date.,,1164;20,Implementation;Operation,
1100,Insufficient Isolation of System-Dependent Functions,"The product or code does not isolate system-dependent
					functionality into separate standalone modules.",,1061,,
1101,Reliance on Runtime Component in Generated Code,"The product uses automatically-generated code that cannot be
					executed without a specific runtime support component.",,710,,
